OID_,FID_1,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Are,Shape__Len,DEM_min,DEM_mean,DEM_max,DEM_std,FloAc_rang,FloAc_mean,FloAc_std,FlowAc_max,Haz_major,Haz_max,FloDir_maj,FloDir_mea,FloDir_std,2010_POP,2015_POP,2021_POP
951,951,48,201,223002,48201223002,2230.02,Census Tract 2230.02,G5020,S,740660,0,29.906774,-95.327696,989038.4960937501,4029.9477213870896,18,20.4976006,21.0,0.513019,5339.0,33.7598991,249.6569977,5339.0,1.0,1.0,1.0,26.6147003,37.0699997,4252.0,4702.0,1692.0
952,952,48,201,980100,48201980100,9801.0,Census Tract 9801,G5020,S,30480403,13141,29.9858736,-95.3457951,40785658.4375,33320.4021216625,19,26.8754997,35.0,1.5148799,8733.0,20.9057007,133.0429993,8733.0,1.0,2.0,64.0,33.7504997,48.0868988,,,
953,953,48,201,433007,48201433007,4330.07,Census Tract 4330.07,G5020,S,360757,0,29.7076821,-95.5424131,479838.8984375,3735.12710036126,18,21.3794994,22.0,0.66791,2194.0,34.543499,155.7070007,2194.0,0.0,0.0,16.0,21.1406002,32.8180008,,,
954,954,48,201,453201,48201453201,4532.01,Census Tract 4532.01,G5020,S,445299,0,29.6874517,-95.5629416,592056.4375,3820.04841597306,18,21.3917999,28.0,0.757365,1748.0,24.4472008,91.2179031,1748.0,0.0,0.0,4.0,18.9657001,34.1501007,,,
955,955,48,201,432501,48201432501,4325.01,Census Tract 4325.01,G5020,S,915871,0,29.7243764,-95.534001,1218599.09765625,4438.09184727474,19,21.3339005,23.0,0.486536,3732.0,32.1034012,129.6109924,3732.0,0.0,0.0,1.0,28.1884003,39.3487015,,,
956,956,48,201,451502,48201451502,4515.02,Census Tract 4515.02,G5020,S,1219403,49893,29.7596259,-95.6143903,1690034.1484375,7504.04562442715,17,23.0925999,27.0,1.86174,12339.0,107.5429993,880.1879883,12339.0,1.0,2.0,64.0,43.1077995,49.212101,,,
957,957,48,201,451603,48201451603,4516.03,Census Tract 4516.03,G5020,S,1317277,0,29.7594273,-95.633117,1753894.12109375,6507.54645028288,25,26.7474003,33.0,0.702941,2999.0,26.4785004,123.3840027,2999.0,0.0,0.0,1.0,28.8036003,39.3083,,,
958,958,48,201,452402,48201452402,4524.02,Census Tract 4524.02,G5020,S,1366288,260,29.7084956,-95.5807871,1817635.6171875,5690.07397567039,15,22.0193996,23.0,1.23825,4226.0,39.7226982,222.6340027,4226.0,1.0,1.0,4.0,28.0403996,37.4446983,,,
959,959,48,201,433005,48201433005,4330.05,Census Tract 4330.05,G5020,S,769426,0,29.7150522,-95.5520841,1023564.33984375,4281.88701705867,15,21.9032993,24.0,1.14758,3869.0,34.3005981,207.6730042,3869.0,0.0,0.0,16.0,33.6379013,43.9295006,,,
960,960,48,201,452501,48201452501,4525.01,Census Tract 4525.01,G5020,S,2036350,0,29.7093273,-95.5961331,2708626.16015625,6599.02064966336,18,23.1460991,26.0,0.78163,5658.0,46.2272987,297.2030029,5658.0,1.0,1.0,4.0,25.7350006,42.8853989,,,
961,961,48,201,451003,48201451003,4510.03,Census Tract 4510.03,G5020,S,236560,0,29.744056,-95.5864149,314874.2421875,2492.8852716034694,23,23.5291996,24.0,0.499145,2212.0,33.828701,159.8309937,2212.0,0.0,0.0,4.0,20.6532993,30.9225998,,,
962,962,48,201,432303,48201432303,4323.03,Census Tract 4323.03,G5020,S,1071858,0,29.7330116,-95.5517775,1426383.890625,5575.92908592805,21,23.0023994,32.0,1.2307301,1836.0,23.4036999,105.9430008,1836.0,0.0,0.0,1.0,22.5606003,33.8499985,,,
963,963,48,201,431001,48201431001,4310.01,Census Tract 4310.01,G5020,S,2180809,0,29.7422707,-95.5481493,2902665.91796875,6978.24799598114,19,22.5366001,29.0,0.784642,5842.0,46.0349007,264.8940125,5842.0,0.0,0.0,1.0,27.2390003,41.4287987,,,
964,964,48,201,452502,48201452502,4525.02,Census Tract 4525.02,G5020,S,1132429,0,29.7086575,-95.6095718,1506261.38671875,4916.42563170787,20,24.1700993,26.0,0.704747,958.0,12.5215998,52.4580002,958.0,0.0,0.0,64.0,40.3577995,54.5312996,,,
965,965,48,201,451405,48201451405,4514.05,Census Tract 4514.05,G5020,S,617836,0,29.7412332,-95.6211734,822326.9570312499,4213.24580686892,24,25.1578007,26.0,0.746374,613.0,13.2564001,40.1632004,613.0,1.0,1.0,1.0,18.4270992,38.9404984,,,
966,966,48,201,431002,48201431002,4310.02,Census Tract 4310.02,G5020,S,1993867,10485,29.7528957,-95.5501778,2668382.0390625,8253.69543827961,12,21.4074993,29.0,2.2354,10190.0,58.8679008,479.6990051,10190.0,1.0,2.0,64.0,36.4416008,42.914299,,,
967,967,48,201,451005,48201451005,4510.05,Census Tract 4510.05,G5020,S,300660,0,29.7399119,-95.5741083,400163.47265625,2632.60803421786,22,23.1702003,25.0,0.381438,1903.0,29.0566998,86.4346008,1903.0,0.0,0.0,1.0,25.1875,42.8142014,,,
