+OID_,FID_1,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Are,Shape__Len,DEM_min,DEM_mean,DEM_max,DEM_std,FloAc_rang,FloAc_mean,FloAc_std,FlowAc_max,Haz_major,Haz_max,FloDir_maj,FloDir_mea,FloDir_std,POP_2010_original,POP_2015_original,POP_2021_original,population_2021,population_2015,population_2010,growth_2010_2021_abs,growth_2010_2021_pct,growth_2010_2015_pct,growth_2015_2021_pct,area_sq_km,pop_density_2010,pop_density_2015,pop_density_2021
670,670,48,201,222800,48201222800,2228.0,Census Tract 2228,G5020,S,6765503,16910,29.9234175,-95.3657928,9058929.71484375,12431.9936344569,19,22.1319008,31.0,0.863282,3305.0,28.9754009,142.7440033,3305.0,1.0,2.0,1.0,27.0732002,39.1613007,3804.0,5649.0,3791.0,4315.0,2981.973409381973,3842.3955233405068,472.60447665949323,12.299735250800515,-22.392856454571834,44.702832910046055,6.765503,567.9393717422795,440.7615234790337,637.7944108516396
671,671,48,201,222900,48201222900,2229.0,Census Tract 2229,G5020,S,5804923,18955,29.9142916,-95.3450125,7778091.03125,12306.7370524535,13,20.3785,23.0,0.933518,3709.0,23.8279991,148.121994,3709.0,1.0,2.0,64.0,37.6790009,51.1259003,7476.0,9411.0,3711.0,7816.0,9040.0,7476.0,340.0,4.5478865703584805,20.92027822364901,-13.539823008849558,5.804923,1287.8723800470739,1557.298865118452,1346.4433550625909
672,672,48,201,223100,48201223100,2231.0,Census Tract 2231,G5020,S,4751708,30401,29.9236934,-95.3245004,6388139.63671875,12409.9706958787,12,20.6495991,29.0,1.7560101,8259.0,37.3294983,271.7780151,8259.0,2.0,2.0,4.0,17.3871002,34.5937996,2366.0,1961.0,4411.0,2409.0,1961.0,2366.0,43.0,1.8174133558748946,-17.117497886728657,22.84548699643039,4.751708,497.9262193720658,412.69370929358456,506.97559698533667
673,673,48,201,220300,48201220300,2203.0,Census Tract 2203,G5020,S,1990339,0,29.8242369,-95.3656588,2653448.9140625,6904.48330330667,14,18.9972,28.0,0.658726,2178.0,27.8605003,119.9219971,2178.0,0.0,0.0,1.0,15.8184996,30.4477005,4651.0,10837.0,4257.0,4303.0,4463.426429267043,4663.564405474588,-360.56440547458806,-7.731519801706163,-4.29152379610329,-3.5942438350750963,1.990339,2343.1005499437974,2242.5458322763325,2161.9432669510065
674,674,48,201,220400,48201220400,2204.0,Census Tract 2204,G5020,S,1921252,1147,29.831578,-95.3663222,2563318.2265625,6794.65669193307,15,19.9715996,24.0,0.474404,2761.0,28.6396999,113.0230026,2761.0,0.0,0.0,4.0,14.5410004,26.2940006,4640.0,7011.0,3136.0,4700.0,4367.191469290175,4663.011192541892,36.98880745810766,0.7932386591151283,-6.343963396975272,7.6206535264165725,1.921252,2427.0690115309667,2273.0966418201124,2446.3214612138336
675,675,48,201,220500,48201220500,2205.0,Census Tract 2205,G5020,S,2403756,0,29.8362058,-95.3814642,3205367.1015625,9272.834619825268,16,19.2700005,25.0,0.85498,11419.0,44.8941994,248.0829926,11419.0,1.0,1.0,16.0,22.6762009,42.3961983,4842.0,3199.0,3589.0,2909.0,4057.808027484371,4845.978242549373,-1936.9782425493731,-39.97084067654351,-16.264419186710203,-28.31104920940708,2.403756,2016.0025570604391,1688.1114503653328,1210.189386942768
676,676,48,201,220600,48201220600,2206.0,Census Tract 2206,G5020,S,1660905,0,29.8418052,-95.3668801,2215027.90625,6465.11435532793,19,20.6732006,25.0,0.488059,1910.0,15.5024004,63.6404991,1910.0,0.0,0.0,16.0,26.9062996,39.9098015,3630.0,4366.0,4129.0,3766.0,3806.0,3630.0,136.0,3.746556473829201,4.848484848484849,-1.0509721492380453,1.660905,2185.555465243346,2291.5217908309023,2267.4385350155485
677,677,48,201,230100,48201230100,2301.0,Census Tract 2301,G5020,S,1363626,1056,29.8138484,-95.330229,1818976.05078125,5391.01171115759,10,14.4063997,21.0,0.969613,2208.0,18.4039993,73.3575974,2208.0,0.0,0.0,4.0,22.6539993,40.4850006,1782.0,9983.0,4506.0,1470.0,1249.0,1782.0,-312.0,-17.50841750841751,-29.91021324354658,17.69415532425941,1.363626,1306.8099317554813,915.9402944795713,1078.0081928622658
678,678,48,201,230200,48201230200,2302.0,Census Tract 2302,G5020,S,7778607,4921,29.8199173,-95.3073371,10375746.8359375,15585.754362906,8,14.132,23.0,1.34614,3997.0,27.4839001,143.4459991,3997.0,1.0,2.0,4.0,18.6854,34.4081993,5590.0,7982.0,4349.0,5367.0,4730.0,5590.0,-223.0,-3.9892665474060824,-15.384615384615385,13.467230443974628,7.778607,718.6376686725528,608.0780273383139,689.9692965591397
679,679,48,201,230500,48201230500,2305.0,Census Tract 2305,G5020,S,3460029,355,29.8484539,-95.3283761,4615489.703125,13174.646893571,11,18.1135998,26.0,1.30966,8375.0,26.8677006,183.8880005,8375.0,1.0,2.0,64.0,36.2757988,42.4827995,4400.0,3357.0,1640.0,4108.0,3576.0,4400.0,-292.0,-6.636363636363636,-18.72727272727273,14.876957494407158,3.460029,1271.66564210878,1033.5173491320447,1187.2732858597428
680,680,48,201,230600,48201230600,2306.0,Census Tract 2306,G5020,S,2166516,0,29.8448725,-95.3092658,2889497.30078125,9055.06130087914,13,17.0708008,19.0,1.24595,2842.0,32.3414001,165.1340027,2842.0,0.0,0.0,1.0,40.4490013,46.3203011,2411.0,2637.0,7855.0,2890.0,2724.0,2411.0,479.0,19.86727498963086,12.982165076731647,6.093979441997063,2.166516,1112.8466164108643,1257.3182012041452,1333.938913906013
