GEOID,population_2021,population_2015,population_2010,growth_2010_2021_abs,growth_2010_2021_pct,growth_2010_2015_pct,growth_2015_2021_pct
48157673005,,5.340010252792708,4.9498859113362785,,,7.881481481481478,
48157673103,,77.41885508166457,36.742102839843874,,,110.708830191695,
48157673107,,26.932157859892314,12.647870980121043,,,112.93827160493825,
48157673108,,66.58711801455485,62.20990522602672,,,7.036199095022627,
48201100001,4999.0,2925.6376991479688,2581.8786199764368,2417.1213800235632,93.61870698807765,13.314300545029853,70.86873065164066
48201210400,4411.0,4818.734425906033,4919.603270883547,-508.60327088354734,-10.338298494386592,-2.05034510759236,-8.461442151989303
48201210500,5013.0,6067.265574093967,5015.396729116453,-2.3967291164526614,-0.0477874283112771,20.972794412672897,-17.376288563920365
48201210600,5645.0,5391.0,5667.0,-22.0,-0.38821245809070054,-4.870301746956061,4.711556297532925
48201210700,2537.0,2176.0,2008.0,529.0,26.344621513944222,8.366533864541832,16.590073529411764
48201210800,2223.0,2563.0,2276.0,-53.0,-2.328646748681898,12.609841827768015,-13.265704252828717
48201210900,1462.0,1474.0,1844.0,-382.0,-20.715835140997832,-20.065075921908893,-0.8141112618724559
48201211000,2112.0,1854.0,1479.0,633.0,42.799188640973625,25.354969574036513,13.915857605177994
48201211101,3217.0,3047.7214166091394,3731.457166990279,-514.4571669902789,-13.787031284757587,-18.323558861393217,5.554266950658438
48201211102,2215.0,2662.2785833908606,3259.5428330097207,-1044.5428330097207,-32.0456851320231,-18.323558861393213,-16.80059277722829
48201211200,2213.0,2553.0,2617.0,-404.0,-15.437523882307985,-2.4455483377913643,-13.317665491578534
48201211301,2419.0,2161.5101417749606,2210.492649345689,208.5073506543108,9.432619046076876,-2.2159090909091006,11.912498269085022
48201211302,2722.0,2975.2886767367204,3042.7124178132644,-320.71241781326444,-10.540346039135501,-2.215909090909095,-8.513079040603413
48201211400,3819.0,3832.1809440817938,4220.9818203023715,-401.9818203023715,-9.523419844380552,-9.211147850732175,-0.3439541157927232
48201211501,2864.0,4483.712269823577,4339.154762343489,-1475.154762343489,-33.996362036803404,3.3314669652855518,-36.12435795054505
48201211502,3375.0,2910.1067860946296,2817.8634173541404,557.1365826458596,19.77159642354093,3.2735216395655513,15.975125590812365
48201211600,3235.0,2781.201181488319,3199.7949328410464,35.205067158953625,1.1002288552190316,-13.08189306309904,16.316648415517975
48201211700,3846.0,3863.0,3318.0,528.0,15.913200723327305,16.425557564798073,-0.4400724825265338
48201211900,5528.0,5292.0,5143.0,385.0,7.4859031693564075,2.8971417460626094,4.459561602418746
48201212300,4348.0,6193.365872941224,5112.023495473978,-764.0234954739781,-14.945617839010715,21.152922681686253,-29.79584786042781
48201212400,3106.0,3081.0,3633.0,-527.0,-14.505917974126067,-15.194054500412882,0.8114248620577734
48201212500,3874.0,3520.0,4121.0,-247.0,-5.993690851735016,-14.583838874059692,10.056818181818182
48201220100,1717.0,2292.659663325623,2521.9256296581852,-804.9256296581852,-31.91710414423611,-9.090909090909085,-25.108814558659727
48201220200,2236.0,2681.340336674377,2622.0743703418143,-386.0743703418143,-14.724005341293411,2.2602702273786637,-16.608870219985775
48201220300,4303.0,4463.426429267043,4663.564405474588,-360.56440547458806,-7.731519801706163,-4.29152379610329,-3.5942438350750963
48201220400,4700.0,4367.191469290175,4663.011192541892,36.98880745810766,0.7932386591151283,-6.343963396975272,7.6206535264165725
48201220500,2909.0,4057.808027484371,4845.978242549373,-1936.9782425493731,-39.97084067654351,-16.264419186710203,-28.31104920940708
48201220600,3766.0,3806.0,3630.0,136.0,3.746556473829201,4.848484848484849,-1.0509721492380453
48201220701,2767.0,2699.203942709329,2930.9860861944876,-163.9860861944876,-5.594911793232108,-7.907991940899935,2.511705626164006
48201220702,3369.0,2749.370131249081,2985.460073239659,383.53992676034113,12.846928692774123,-7.907991940899942,22.537157209510074
48201220800,3707.0,2787.0,2835.0,872.0,30.758377425044092,-1.6931216931216932,33.01040545389308
48201220900,1717.0,1610.0,1760.0,-43.0,-2.4431818181818183,-8.522727272727272,6.645962732919254
48201221000,3914.0,3520.0,3504.0,410.0,11.700913242009133,0.45662100456621,11.193181818181818
48201221100,3959.0,3717.0,3766.0,193.0,5.124800849707913,-1.3011152416356877,6.5106268496099
48201221200,5806.0,6381.0,5922.0,-116.0,-1.9587977034785546,7.750759878419452,-9.01112678263595
48201221301,4458.0,4812.795077307519,4776.874634572893,-318.8746345728932,-6.67538210580241,0.7519653640195958,-7.371913235624534
48201221302,3970.0,4030.2049226924805,4000.1253654271063,-30.125365427106317,-0.7531105321717769,0.7519653640195978,-1.4938427163713328
48201221400,6055.0,6125.0,6526.0,-471.0,-7.217284707324548,-6.144652160588415,-1.1428571428571428
48201221501,5607.0,7087.9487882305475,6049.449671222599,-442.44967122259914,-7.313883002074463,17.166836215666322,-20.893897973552587
48201221502,2931.0,2126.0512117694525,1814.550328777401,1116.449671222599,61.52762221673041,17.166836215666333,37.861213491683074
48201221601,3461.0,2054.853937636255,1886.373069165781,1574.626930834219,83.47378133057069,8.931471256901585,68.43046294479045
48201221602,5577.0,8007.146062363745,7350.626930834219,-1773.626930834219,-24.12892053321676,8.931471256901593,-30.34971565944377
48201221701,5322.0,4651.798515730051,4105.871489453842,1216.1285105461584,29.619254125947485,13.296252152032842,14.407362700763235
48201221702,,3903.201484269949,3445.1285105461584,,,13.296252152032844,
48201221800,4044.0,3842.0,3374.0,670.0,19.85773562537048,13.870776526378187,5.25767829255596
