"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B01003_001E","Estimate!!Total"
"B01003_001M","Margin of Error!!Total"
"POPGROUP","Race/Ethnic Group"
"POPGROUP_LABEL","Population Groups"
